,Factor1,Factor2,Factor3,Factor4,Factor5
Sum of Squared Loadings,3.2095035171560076,2.9074089004275807,2.0641493413819294,2.0290956988967017,1.8688709040053875
Proportional Variance,0.0629314415128629,0.05700801765544276,0.04047351649768489,0.03978619017444513,0.0366445275295174
Cumulative Variance,0.0629314415128629,0.11993945916830565,0.16041297566599053,0.20019916584043565,0.23684369336995303
