group_key,total_cocoa_net_emissions_15_years_total
GERMANY,8601823.645113321
CANADA,4125092.4036360234
NETHERLANDS,25164272.93440772
MALAYSIA,8516219.243990114
BELGIUM,11403224.694792492
TURKEY,6178454.817247188
ITALY,3023778.313142047
UNITED STATES,15088006.915457074
INDONESIA,3276600.540750464
FRANCE,5532464.714086156
UNITED KINGDOM,5366198.391024495
SPAIN,3866872.7835294777
ESTONIA,3440324.340095841
