group_key,total_cocoa_deforestation_15_years_total_exposure
CARGILL,219061.70427600632
ECOM,109960.88400776204
OLAM,216632.3961027394
BARRY CALLEBAUT,194911.92229699454
TOUTON,129538.00105609701
ETC GROUP,46256.13591213607
SUCDEN,127798.45875596614
SACC,30971.192378300002
SOCIETE AWAHUS SERVICES,24129.206432451003
