trader_group,country_of_destination,cocoa_deforestation_15_years_total_exposure,cocoa_net_emissions_15_years_total
BARRY CALLEBAUT,UNITED KINGDOM,9.879858921,515.1821328
BARRY CALLEBAUT,CANADA,119.2598512,6418.605098
OLAM,MEXICO,20.92280586,1126.072413
CARGILL,NETHERLANDS,386.1946688,14350.29139
OLAM,SOUTH AFRICA,4.262094038,245.814719
ECOM,TURKEY,716.4927289,65645.40509
BARRY CALLEBAUT,NETHERLANDS,0.296604331,0.327936223
CARGILL,UNITED STATES,4.144650351,94.76482168
OLAM,NETHERLANDS,31.05699549,1020.815043
OLAM,SPAIN,7.925834368,1135.332305
CARGILL,NETHERLANDS,679.5655816,62262.12226
OLAM,INDONESIA,1.289113508,58.32111599
OLAM,MEXICO,6.342093737,385.1842894
TOUTON,MALAYSIA,2.399233569,127.9601601
BARRY CALLEBAUT,ITALY,2.843853231,150.7725681
BARRY CALLEBAUT,UNITED KINGDOM,48.48795851,2796.525321
OLAM,ESTONIA,1.112797581,32.8962259
BARRY CALLEBAUT,MALAYSIA,2.773162327,75.64099461
SUTEC,UNITED STATES,559.7498702,51284.54971
OLAM,UNITED STATES,3.178870425,143.816095
OLAM,UNITED STATES,2.30275168,142.2992044
CARGILL,GERMANY,9.298742356,592.8978952
BARRY CALLEBAUT,INDONESIA,3.147913303,191.1871378
CARGILL,BRAZIL,424.1596524,38861.70938
OLAM,UNITED STATES,151.569659,7903.552149
CARGILL,UNITED STATES,14.94841355,606.809169
OLAM,NETHERLANDS,10.56087027,376.9142733
TOUTON,INDONESIA,26.96731989,5307.128425
OLAM,MEXICO,11.18018694,399.0174983
ECOM,UNITED STATES,27.7889357,1257.206392
CARGILL,NETHERLANDS,6.881925929,367.0390223
ECOM,NETHERLANDS,3.819381106,112.9075277
ECOM,CHINA (MAINLAND),2.242334869,101.4460489
OLAM,MEXICO,9.735197576,292.9411829
BARRY CALLEBAUT,ESTONIA,8.438740264,277.373676
BARRY CALLEBAUT,INDONESIA,2.354393509,95.57319001
BARRY CALLEBAUT,ITALY,1.833355542,59.72522183
CARGILL,GERMANY,26.51934023,1076.514157
OLAM,BELGIUM,31.93432916,1665.20554
OLAM,JAPAN,1.893937206,36.43489047
SUCDEN,BELGIUM,10.88854811,567.7799129
COCOASOURCE,UNITED STATES,6.635277358,151.7114406
SUCDEN,SPAIN,0.929380846,21.47731264
OLAM,ESTONIA,29.70195897,1713.04965
OLAM,NETHERLANDS,43.05787474,828.3320825
CARGILL,NETHERLANDS,8.646170603,498.6647358
OLAM,MALAYSIA,38.4137106,2215.496747
CARGILL,UNITED KINGDOM,5.027845557,305.364001
TOUTON,TURKEY,22.6351747,1180.304058
CEMOI,FRANCE,489.011373,15512.71373
OLAM,SINGAPORE,6.106967621,232.4370675
TANMONDIAL,GERMANY,927.0857225,84940.03546
OLAM,UNITED KINGDOM,1.50584858,64.12621761
ECOM,GERMANY,115.2976805,10563.6284
BARRY CALLEBAUT,ESTONIA,6.007184056,257.1339056
BARRY CALLEBAUT,CANADA,2.576756369,76.17338596
OLAM,UNITED KINGDOM,36.18054983,8756.035035
ECOM,SPAIN,14.20142408,862.5172808
BARRY CALLEBAUT,GERMANY,1.468702904,62.8669457
OLAM,SPAIN,7.789896421,256.0467722
SUCDEN,UNITED KINGDOM,0.548525755,16.21537238
ECOM,UNITED STATES,717.1795211,65708.32932
OLAM,UNITED STATES,8.363884379,247.2509239
BARRY CALLEBAUT,MEXICO,3.602919485,191.0159841
ECOM,UNITED STATES,4.501076698,234.7072273
CEMOI,POLAND,189.8124998,37354.81751
ETC GROUP,NETHERLANDS,10.35993514,420.4426199
OLAM,NETHERLANDS,11.25245763,2058.202283
OLAM,NETHERLANDS,69.96873377,6410.568714
OLAM,ESTONIA,20.42195457,1064.896391
CARGILL,FRANCE,204.0496262,11768.48776
OLAM,BELGIUM,2.700664417,386.8553663
OLAM,NETHERLANDS,51.29700835,3270.752874
OLAM,NETHERLANDS,6.611675313,344.7637276
BARRY CALLEBAUT,UNITED STATES,28.55387676,938.5398193
OLAM,ISRAEL,3.107012977,445.062569
OLAM,JAPAN,1.566486235,44.75329894
BARRY CALLEBAUT,ESTONIA,19.96451556,1212.536121
BARRY CALLEBAUT,SENEGAL,1.715498399,77.61130457
BARRY CALLEBAUT,MALAYSIA,1.049073503,44.90496122
OLAM,NETHERLANDS,62.88599497,3279.170409
BARRY CALLEBAUT,ISRAEL,2.11413383,112.7547175
CAADA (COOPERATIVE),SPAIN,14.81508152,338.7375146
BARRY CALLEBAUT,POLAND,59.27860011,6782.591894
ECOOKIM,MEXICO,2.446019979,318.5279916
CARGILL,NETHERLANDS,7.744562884,413.0466992
BARRY CALLEBAUT,CANADA,6.051774458,259.0425709
CEMOI,BELGIUM,18.1593756,737.1535168
BARRY CALLEBAUT,ITALY,12.99456738,677.5976246
OLAM,SPAIN,9.059983057,323.3480615
BARRY CALLEBAUT,BELGIUM,114.4357427,4645.353014
BARRY CALLEBAUT,CROATIA,4.763857017,215.5228813
BARRY CALLEBAUT,NETHERLANDS,4.302885018,198.4510614
CARGILL,GERMANY,38.26261208,2028.568923
BARRY CALLEBAUT,CANADA,40.98619675,2363.863947
OLAM,ESTONIA,14.8487297,405.0151237
OLAM,UNITED STATES,61.80281063,3222.688102
CARGILL,NETHERLANDS,83.02783132,2859.234097
OLAM,UNITED STATES,80.77334714,4658.573334
TOUTON,INDONESIA,283.9469776,26015.35733
OLAM,GERMANY,3.517240377,183.4053921
OLAM,MALAYSIA,38.57981101,2225.076528
OLAM,NETHERLANDS,8.642972802,465.1676885
SUCDEN,BELGIUM,4.619164254,136.5505043
COCOASOURCE,UNITED STATES,227.3983848,20834.34832
ECOM,NETHERLANDS,2.120000888,387.7722369
CARGILL,NETHERLANDS,35.44080048,6200.154533
OLAM,INDONESIA,14.57459997,784.4098474
OLAM,JAPAN,3.366272693,385.1652002
OLAM,NETHERLANDS,29.19485886,1249.668399
SUCDEN,INDONESIA,11.74517202,419.1816454
OLAM,NETHERLANDS,23.68071442,1365.776567
SUCDEN,CHINA (MAINLAND),1.131277398,25.86594569
ECOM,ITALY,6.392714712,146.1653984
SUCDEN,SPAIN,8.296036653,432.5942193
OLAM,BELGIUM,4.21725687,243.2287517
BARRY CALLEBAUT,GERMANY,3.89939606,236.8281144
CARGILL,NETHERLANDS,2.922265618,79.70794777
OLAM,GERMANY,1.250640599,53.5329197
BARRY CALLEBAUT,CANADA,7.256488223,139.59774
CARGILL,UNITED STATES,11.34174018,460.4014939
ECOM,TURKEY,9.965396385,294.5943956
BARRY CALLEBAUT,ITALY,15.11769551,788.3074727
OLAM,NETHERLANDS,229.4780933,13235.06533
OLAM,NETHERLANDS,5.765297149,260.8292921
OLAM,NETHERLANDS,1556.724642,142627.8531
ECOM,TURKEY,3690.850706,338157.4997
CARGILL,NETHERLANDS,2.153435365,64.79888037
OLAM,UNITED STATES,55.68326666,1987.318985
CARGILL,GERMANY,18.24317183,1107.991062
BARRY CALLEBAUT,GERMANY,699.6873377,64105.68714
CARGILL,UNITED KINGDOM,8.577335046,348.1844768
BARRY CALLEBAUT,UNITED STATES,28.27347863,929.323389
BARRY CALLEBAUT,BELGIUM,24.71052657,2827.351134
BARRY CALLEBAUT,CANADA,7.886338268,902.3461065
OLAM,UNITED STATES,0.987137555,58.09708152
CARGILL,GERMANY,0.927838229,21.21443714
BARRY CALLEBAUT,UNITED STATES,85.48748199,16823.80924
ECOM,BELGIUM,2.848646646,84.21093396
OLAM,GERMANY,2.234232296,61.80771866
BARRY CALLEBAUT,ITALY,1.588595519,46.96163793
SUCDEN,ITALY,27.8567248,1145.28923
BARRY CALLEBAUT,MALAYSIA,337.7939901,30948.84627
TOUTON,TURKEY,71.56694731,2905.156435
ETC GROUP,UNITED KINGDOM,13.87622179,563.1459045
ECOM,GERMANY,27.93401574,1489.826239
OLAM,UNITED KINGDOM,46.52838877,2481.534167
TOUTON,MEXICO,2.162992069,114.6753516
OLAM,UNITED KINGDOM,87.51911402,6565.806976
CARGILL,BRAZIL,14.60009486,502.7842878
TOUTON,MEXICO,5.667916299,287.6218199
GPA TRANSFORMATION,LITHUANIA,38.11583469,3492.190929
CARGILL,UNITED KINGDOM,5.393211094,287.6402547
BARRY CALLEBAUT,AUSTRALIA,3.908801055,207.2329074
OLAM,NETHERLANDS,2.307411415,82.35081717
OLAM,NETHERLANDS,91.62877202,2906.703174
CARGILL,NETHERLANDS,1.539109085,65.88063998
OLAM,ESTONIA,1.694077233,72.51395847
BARRY CALLEBAUT,ISRAEL,2.673744155,101.7652769
CARGILL,NETHERLANDS,66.27462886,4025.160599
SOCIETE AWAHUS SERVICES,UNITED STATES,2623.827516,240396.3268
CARGILL,INDONESIA,1.904325704,54.40511102
OLAM,SINGAPORE,12.1516659,2744.693181
OLAM,NETHERLANDS,5.772433281,332.9229839
BARRY CALLEBAUT,AUSTRALIA,9.023760077,322.0552743
BARRY CALLEBAUT,ISRAEL,1.936751083,82.90146686
CARGILL,GERMANY,27.60026377,950.4718358
BARRY CALLEBAUT,BELGIUM,2.480352985,132.286564
CARGILL,UNITED STATES,8.8566993,202.5028552
COCOA EXPORT COTE D'IVOIRE,FRANCE,18.73847967,1716.828432
BARRY CALLEBAUT,BELGIUM,21.07581357,855.5420862
CARGILL,INDONESIA,1.542848967,82.28594472
BARRY CALLEBAUT,CROATIA,5.862311868,305.6884067
TOUTON,TURKEY,14.3465417,760.6106083
BARRY CALLEBAUT,UNITED KINGDOM,51.48104237,2969.15034
BARRY CALLEBAUT,CANADA,3.077420382,97.62378556
BARRY CALLEBAUT,BELGIUM,3.147913303,191.1871378
SUCDEN,MALAYSIA,3.239822295,111.5699426
OLAM,NETHERLANDS,6.050079544,348.9361309
OLAM,NETHERLANDS,5.757664883,260.4839987
ECOM,MALAYSIA,3.907771576,208.4161721
BARRY CALLEBAUT,CANADA,12.11203372,547.9636348
SACC,MEXICO,489.7811364,44873.981
BARRY CALLEBAUT,FRANCE,258.3868574,13473.50133
CARGILL,NETHERLANDS,140.2950559,4221.609197
OLAM,NETHERLANDS,0.896003223,38.35287982
CEMOI,POLAND,24.79661433,733.0309131
COCOASOURCE,BELGIUM,307.4212943,28166.0854
OLAM,SPAIN,14.87441094,447.5849104
OLAM,UNITED STATES,37.82298267,1711.159293
OLAM,SPAIN,15.93124097,967.5769528
BARRY CALLEBAUT,FRANCE,270.8774426,16451.62301
COCOASOURCE,BELGIUM,134.8148209,8187.919189
OLAM,INDONESIA,2.594974402,111.0763207
CARGILL,UNITED KINGDOM,1.628240001,95.82858195
OLAM,NETHERLANDS,39.81203529,1371.009299
OLAM,BELGIUM,1.967718358,359.9180329
BARRY CALLEBAUT,MALAYSIA,4.813823769,259.0816061
OLAM,NETHERLANDS,8.912817727,514.0435114
BARRY CALLEBAUT,FRANCE,6.490146387,589.4346466
OLAM,NETHERLANDS,65.65541482,3987.552905
BARRY CALLEBAUT,UNITED STATES,4.329923904,249.7267818
OLAM,INDONESIA,0.826194234,26.91492881
ETC GROUP,BELGIUM,2.925277817,155.0894554
OLAM,SPAIN,8.345895723,297.8625
BARRY CALLEBAUT,MEXICO,3.803070473,172.05569
CARGILL,BRAZIL,65.0829893,4149.761967
BARRY CALLEBAUT,CANADA,0.889818107,28.98760367
BARRY CALLEBAUT,MEXICO,24.25902236,984.7598306
OLAM,SPAIN,10.20402106,307.0485192
TOUTON,SPAIN,224.036196,44089.98999
OLAM,NETHERLANDS,2.821737484,516.1278293
CARGILL,UNITED KINGDOM,2.659504814,122.6576009
ECOM,MALAYSIA,1.616657719,47.7912052
OLAM,MALAYSIA,4.496907587,203.4457535
CARGILL,INDONESIA,1749.218344,160264.2179
CARGILL,INDONESIA,6.913886439,518.6894808
TOUTON,TURKEY,9.796870409,522.503987
ECOM,CANADA,30.38226771,1584.273784
CARGILL,UNITED KINGDOM,18.28365212,679.3872542
OLAM,UNITED KINGDOM,12.236281,780.1985442
CARGILL,FRANCE,33.08354154,1139.299781
OLAM,ISRAEL,3.397765142,107.7859553
BARRY CALLEBAUT,UNITED STATES,9.286344245,564.0020564
COCOASOURCE,UNITED STATES,24.36412426,1479.744432
BARRY CALLEBAUT,SENEGAL,1.961740265,79.634001
OLAM,UNITED KINGDOM,143.2609017,8262.520251
OLAM,BELGIUM,10.53586611,476.6558302
OLAM,MALAYSIA,24.0494053,1533.416159
BARRY CALLEBAUT,BELGIUM,0.879930575,37.66489978
ECOM,CHINA (MAINLAND),230.595361,21127.25681
BARRY CALLEBAUT,ESTONIA,5.500156294,165.5048373
BARRY CALLEBAUT,GERMANY,5.459330771,105.024664
ECOM,ITALY,35.16417035,1833.624592
BARRY CALLEBAUT,CANADA,4.493182188,203.2772118
BARRY CALLEBAUT,NETHERLANDS,270.1519403,17225.18064
BARRY CALLEBAUT,GERMANY,0.204167018,0.225734265
OLAM,AUSTRALIA,3.654320725,668.4167586
BARRY CALLEBAUT,NETHERLANDS,18.47967176,602.0122502
CARGILL,NETHERLANDS,59.02729931,2526.628095
BARRY CALLEBAUT,UNITED KINGDOM,5.340617898,160.704178
SUCDEN,MEXICO,3.361494367,138.2030129
OLAM,NETHERLANDS,7.274141259,832.2992015
COCOASOURCE,GERMANY,5.391162853,123.2655455
BARRY CALLEBAUT,UNITED STATES,0.574416716,13.13367668
BARRY CALLEBAUT,BELGIUM,1.475704484,78.23742536
SUCDEN,MALAYSIA,349.8436689,32052.84357
BARRY CALLEBAUT,UNITED STATES,1.800719015,59.18798744
OLAM,SOUTH AFRICA,12.14529085,653.6636177
BARRY CALLEBAUT,MEXICO,62.65254884,7168.635377
OLAM,BELGIUM,14.77793404,770.590718
CARGILL,NETHERLANDS,21.39244405,915.6907189
BARRY CALLEBAUT,AUSTRALIA,0.658010439,19.45192947
OLAM,AUSTRALIA,4.936086061,284.6869631
ECOM,UNITED STATES,10.4297224,308.3206776
CARGILL,BRAZIL,92.14608124,16120.40179
OLAM,BELGIUM,40.08891068,2312.113301
BARRY CALLEBAUT,FRANCE,15.59018323,812.945196
OLAM,MALAYSIA,11.81259493,393.6385317
ECOM,GERMANY,17.50908647,555.4338021
CARGILL,FRANCE,25.38181135,3635.805273
BARRY CALLEBAUT,BELGIUM,4.965768058,229.023536
OLAM,AUSTRALIA,6.913690363,372.0971289
ECOM,ITALY,15.12931318,806.9032382
OLAM,MEXICO,12.12622926,773.1815259
OLAM,NETHERLANDS,0.658795794,19.47514592
OLAM,NETHERLANDS,1.133914143,48.53651386
OLAM,NETHERLANDS,13.48472336,513.2415543
OLAM,ISRAEL,2.138389622,96.74343521
OLAM,UNITED KINGDOM,217.9702549,13898.0198
CARGILL,INDONESIA,1.206651343,27.88483135
SUCDEN,BELGIUM,34.33940326,1980.512558
BARRY CALLEBAUT,GERMANY,12.57088217,510.2967307
BARRY CALLEBAUT,UNITED ARAB EMIRATES,3.000344134,156.4520002
OLAM,GERMANY,6.927315312,361.2226759
SAFAL COMMODITIES,NETHERLANDS,349.8436689,32052.84357
BARRY CALLEBAUT,UNITED STATES,40.35451678,1389.690764
OLAM,ISRAEL,6.584366535,419.8263497
CARGILL,UNITED KINGDOM,1.253827112,28.66796778
OLAM,JAPAN,0.539813956,15.95783649
BARRY CALLEBAUT,POLAND,23.55559235,1267.769863
OLAM,AUSTRALIA,1.733508044,91.90539679
ETC GROUP,NETHERLANDS,19.95986148,1212.253458
BARRY CALLEBAUT,CANADA,24.11698531,2759.438798
ECOM,CANADA,19.22009807,369.7494118
OLAM,SINGAPORE,3.036443299,123.2600121
OLAM,NETHERLANDS,16.40184925,3969.402549
BARRY CALLEBAUT,BELGIUM,1.893276852,54.08945386
BARRY CALLEBAUT,GERMANY,1.65815454,73.07373212
ECOM,NETHERLANDS,16.60612126,885.6669735
CARGILL,NETHERLANDS,26.71175761,610.7475258
OLAM,NETHERLANDS,2.212481078,104.3349504
CARGILL,NETHERLANDS,8.385692853,534.6808689
BARRY CALLEBAUT,ESTONIA,9.797840708,510.9053189
BARRY CALLEBAUT,ESTONIA,12.00832916,626.1705433
QUANG THIEN IMEX,CANADA,244.8905682,22436.9905
OLAM,UNITED STATES,35.85603285,1929.783687
OLAM,GERMANY,4.400362613,157.0476139
BARRY CALLEBAUT,GERMANY,32.55243741,1697.4366
ETC GROUP,NETHERLANDS,85.41954184,3251.150006
CARGILL,INDONESIA,1.164268033,26.6202558
BARRY CALLEBAUT,ISRAEL,4.946265828,148.8377561
BARRY CALLEBAUT,FRANCE,2.942105993,125.93508
SUCDEN,MALAYSIA,8.040530957,512.6729722
OLAM,UNITED KINGDOM,79.00735771,2819.748757
OLAM,UNITED STATES,211.0315662,12171.16861
BARRY CALLEBAUT,ITALY,4.961679283,267.0392394
BARRY CALLEBAUT,POLAND,38.14389749,1989.001525
OLAM,UNITED STATES,5.234069185,157.4980278
SUCDEN,BELGIUM,1.781761901,40.73886446
OLAM,UNITED STATES,291.1066452,10816.9934
TANMONDIAL,FRANCE,349.8436689,32052.84357
CARGILL,NETHERLANDS,1.733752316,52.17022564
BARRY CALLEBAUT,UNITED KINGDOM,11.87057676,618.987488
SUCDEN,TURKEY,5.731993291,197.3929754
BARRY CALLEBAUT,UNITED KINGDOM,15.79338385,1434.35403
OLAM,MEXICO,5.031988627,266.7809435
CARGILL,UNITED STATES,6.425792542,303.0239456
ETC GROUP,GERMANY,19.74373715,379.8229944
OLAM,NETHERLANDS,1.152626522,26.35407999
OLAM,SPAIN,67.21169641,16265.86581
ECOM,GERMANY,3.150753689,164.2950591
BARRY CALLEBAUT,ESTONIA,13.54107125,780.9763449
TOUTON,GHANA,7.397636839,394.5438269
BARRY CALLEBAUT,MEXICO,23.59279814,1360.706027
CARGILL,NETHERLANDS,53.28705592,1575.257764
ECOM,TURKEY,18.80605584,596.5770467
SUCDEN,SPAIN,74.43892266,4293.237712
OLAM,GERMANY,4.17820532,125.7260984
SUCDEN,ITALY,15.36939856,623.898445
BARRY CALLEBAUT,FRANCE,7.561713536,348.7497507
BARRY CALLEBAUT,POLAND,6.500195498,346.6799011
CARGILL,UNITED STATES,6.906536543,295.6301486
BARRY CALLEBAUT,UNITED KINGDOM,10.87487135,627.2042386
BARRY CALLEBAUT,POLAND,6.602373548,188.6247006
BARRY CALLEBAUT,CANADA,43.51620889,2509.781475
ECOM,UNITED STATES,111.1557013,6410.86453
OLAM,NETHERLANDS,17.63508904,919.5761659
CARGILL,GERMANY,9.66060815,515.2366077
ETC GROUP,UNITED STATES,47.03499039,1909.317222
BARRY CALLEBAUT,FRANCE,13.63348874,444.1381504
BARRY CALLEBAUT,MALAYSIA,2.351023085,125.3889134
OLAM,UNITED STATES,6.093579432,1114.584876
BARRY CALLEBAUT,GERMANY,10.99265764,330.77933
OLAM,NETHERLANDS,3.707465673,111.561103
OLAM,INDONESIA,7.319162839,1338.757999
BARRY CALLEBAUT,NETHERLANDS,3.902792702,229.6953091
BARRY CALLEBAUT,NETHERLANDS,28.08205797,1497.721889
BARRY CALLEBAUT,POLAND,11.6461836,621.1348228
BARRY CALLEBAUT,MEXICO,18.37889107,1116.233911
OLAM,NETHERLANDS,150.3795661,11281.68646
OLAM,ISRAEL,2.092480124,74.67998422
CARGILL,INDONESIA,1.987502865,85.07386642
CARGILL,GERMANY,59.09037334,3081.248913
BARRY CALLEBAUT,GERMANY,7.947531938,414.4215507
BARRY CALLEBAUT,ESTONIA,2.675060961,79.07944015
SCAT (COOPERATIVE),MALAYSIA,729.4428407,38036.56727
CARGILL,UNITED KINGDOM,1.977483584,80.27307823
OLAM,INDONESIA,7.34258411,141.254022
OLAM,INDONESIA,0.884310726,52.04530219
TOUTON,CANADA,497.5729618,26779.54331
OLAM,NETHERLANDS,4.079533386,746.1929831
CARGILL,GERMANY,3.792524068,202.2695886
OLAM,UNITED STATES,33.97310259,1022.282371
CARGILL,GERMANY,4.782415294,177.705853
OLAM,NETHERLANDS,12.06292009,448.2361678
BARRY CALLEBAUT,UNITED STATES,7.780161339,253.4543089
CARGILL,NETHERLANDS,57.99729274,2482.539282
ECOM,GERMANY,10.92767166,249.8543348
OLAM,MALAYSIA,8.821995841,467.7157578
BARRY CALLEBAUT,AUSTRALIA,7.734752036,702.4696457
BARRY CALLEBAUT,NETHERLANDS,8283.54553,758942.3869
OLAM,UNITED STATES,48.58420923,2575.789044
BARRY CALLEBAUT,AUSTRALIA,13.18068386,687.3026102
BARRY CALLEBAUT,CANADA,3.950408478,112.8601118
COOPAGAGNY (COOPERATIVE),UNITED STATES,429.0840239,22374.45133
IVOIRE CACAO,GERMANY,1294.421575,118595.5212
OLAM,SPAIN,7.904926182,419.0954752
OLAM,INDONESIA,12.66958841,520.8919306
BARRY CALLEBAUT,ISRAEL,1.593105123,72.07407887
BARRY CALLEBAUT,POLAND,26.11407594,932.0034906
TOUTON,SPAIN,114.6349946,20054.7017
OLAM,NETHERLANDS,131.1609811,4992.113225
BARRY CALLEBAUT,MALAYSIA,5.592676051,300.9996965
CARGILL,BRAZIL,4.023313888,171.3319023
BARRY CALLEBAUT,UNITED STATES,67.55324835,4102.816995
BARRY CALLEBAUT,GERMANY,1.391500657,62.95323936
ECOM,NETHERLANDS,14.30692842,2616.899676
OLAM,NETHERLANDS,2.550024434,154.8746188
ECOM,GERMANY,6.486754443,293.4689272
SUCDEN,MALAYSIA,8.100635851,516.5053253
TOUTON,ESTONIA,3451.047882,316186.6507
COCOA EXPORT COTE D'IVOIRE,CANADA,3918.249091,358991.848
OLAM,NETHERLANDS,489.7811364,44873.981
ECOM,NETHERLANDS,0.846760653,19.36064938
CARGILL,UNITED STATES,26.62759131,1433.105875
SUCDEN,CANADA,47.23411685,1685.771378
BARRY CALLEBAUT,CROATIA,3.802834355,154.3705455
BARRY CALLEBAUT,GERMANY,68.16575581,2051.171225
SUCDEN,TURKEY,7.950368459,414.5694602
ECOM,GERMANY,35.47844211,1440.195904
OLAM,MALAYSIA,25.46661741,1468.77787
OLAM,NETHERLANDS,25.39802327,1366.930112
TOUTON,GERMANY,349.8436689,32052.84357
BARRY CALLEBAUT,GERMANY,15.95880284,593.000084
OLAM,INDONESIA,15.256046,566.8869181
BARRY CALLEBAUT,UNITED STATES,28.60424091,1491.559136
ETC GROUP,BELGIUM,5.591722371,419.4988736
OLAM,UNITED STATES,139.9601314,5680.074588
ECOM,NETHERLANDS,1014.54664,92953.24636
OLAM,UNITED STATES,315.5690604,20121.02546
CARGILL,NETHERLANDS,1.036927334,46.91189638
BARRY CALLEBAUT,UNITED STATES,22.72847533,1028.264802
OLAM,SPAIN,4.426217946,130.8466768
OLAM,NETHERLANDS,2.970994701,87.82775459
BARRY CALLEBAUT,MEXICO,14.93311431,514.2524973
BARRY CALLEBAUT,GERMANY,1.208104718,54.65617647
OLAM,SINGAPORE,3.538767497,116.3160517
OLAM,SOUTH AFRICA,0.741396114,31.73501537
OLAM,UNITED KINGDOM,36.79974558,1947.191896
BARRY CALLEBAUT,CANADA,0.94597935,27.96478977
CARGILL,INDONESIA,7.544291158,406.0362747
COCOASOURCE,UNITED STATES,8.156141835,245.4259215
OLAM,UNITED STATES,11.19885397,256.0547477
BARRY CALLEBAUT,FRANCE,9.647703477,444.9565785
CARGILL,BRAZIL,28.65674937,1178.181091
CARGILL,BRAZIL,5.461446656,202.9374232
BARRY CALLEBAUT,MEXICO,18.24592375,521.2719152
ECOM,GERMANY,27.06723948,1443.597798
BARRY CALLEBAUT,FRANCE,2.766945908,146.6951725
OLAM,UNITED KINGDOM,3.46195857,104.1735651
BARRY CALLEBAUT,ESTONIA,4.167192708,135.7546331
CARGILL,UNITED STATES,152.4703173,8206.003501
ETC GROUP,SPAIN,13.7796803,1576.655787
BARRY CALLEBAUT,FRANCE,7.442518925,400.5588591
OLAM,INDONESIA,10.72383879,559.1911975
CARGILL,UNITED STATES,19.50081474,1040.051876
ECOM,BELGIUM,370.8640129,15054.68675
CARGILL,NETHERLANDS,0.913615153,39.10674789
BARRY CALLEBAUT,GERMANY,53.88932916,2810.042102
OLAM,NETHERLANDS,12.92679989,824.2267776
OLAM,MEXICO,11.68888984,745.2962905
OLAM,BELGIUM,5.447151182,161.0272334
SUCDEN,TURKEY,4.258989963,172.8875209
OLAM,SPAIN,17.74190959,1023.258164
OLAM,ESTONIA,14.50794277,836.7403074
CARGILL,UNITED KINGDOM,24.44442119,1558.6028
OLAM,AUSTRALIA,14.8585376,2599.411639
BARRY CALLEBAUT,CANADA,11.52978992,601.2172654
BARRY CALLEBAUT,CANADA,8.652825026,297.9778221
CARGILL,INDONESIA,1.876137036,86.52831405
ECOOKIM,NETHERLANDS,94.17026142,3821.760551
CARGILL,INDONESIA,1.518958983,34.73004113
BARRY CALLEBAUT,UNITED STATES,20.65249968,1191.125386
OLAM,ESTONIA,9.477912211,311.5303077
OLAM,ESTONIA,12.56532032,763.1492345
OLAM,ESTONIA,6.102520978,323.5373576
ECOOKIM,BELGIUM,4.508937855,103.0940262
OLAM,GERMANY,4.059255,122.1467723
BARRY CALLEBAUT,AUSTRALIA,0.678028772,22.08814269
BARRY CALLEBAUT,FRANCE,42.44032219,2447.730102
OLAM,UNITED STATES,129.9373268,9748.080936
BARRY CALLEBAUT,FRANCE,102.3992932,5339.578903
ECOM,BELGIUM,112.4372793,5996.703467
CARGILL,GERMANY,8.24551798,475.5572419
CARGILL,NETHERLANDS,2.107181067,127.9787206
TOUTON,MEXICO,0.767046799,35.37655569
OLAM,MEXICO,8.059090447,242.5055547
BARRY CALLEBAUT,CANADA,202.6763941,18569.30776
TOUTON,ESTONIA,7.574587142,349.3434875
CARGILL,UNITED KINGDOM,7.236742622,1323.682405
BARRY CALLEBAUT,UNITED STATES,68.65930358,3959.90029
ETC GROUP,MEXICO,2.958377096,120.0613518
ECOM,UNITED KINGDOM,1.311022388,29.97570176
BARRY CALLEBAUT,UNITED STATES,70.31867724,3750.359828
ECOM,NETHERLANDS,51.23642167,3111.821662
OLAM,UNITED KINGDOM,1.441036455,46.94464328
CARGILL,FRANCE,20.78657338,625.4873974
BARRY CALLEBAUT,FRANCE,0.9600799,31.27652205
BARRY CALLEBAUT,ISRAEL,0.74888126,35.31532532
ECOM,GERMANY,874.6091721,80132.10893
BARRY CALLEBAUT,BELGIUM,7.413606581,673.3032377
SUCDEN,INDONESIA,4.292425408,247.5640697
BARRY CALLEBAUT,CANADA,2.631914346,139.5362042
BARRY CALLEBAUT,CANADA,2.489155529,71.11324634
OLAM,UNITED STATES,8.311965532,355.7886924
CARGILL,UNITED KINGDOM,2.516037095,152.8104126
BARRY CALLEBAUT,FRANCE,401.553386,45945.29452
OLAM,UNITED STATES,51.45898989,3281.080992
CARGILL,NETHERLANDS,10.82959155,489.9443384
OLAM,MALAYSIA,682.1951543,62503.04496
BARRY CALLEBAUT,MEXICO,5.177012118,234.2145376
BARRY CALLEBAUT,AUSTRALIA,6.18771654,322.6565308
SUCDEN,INDONESIA,9.945717378,403.7319731
BARRY CALLEBAUT,FRANCE,2.833121973,172.068424
ECOM,UNITED KINGDOM,6.91921719,369.0279056
CNEK (COOPERATIVE),INDONESIA,386.4204645,13307.18327
BARRY CALLEBAUT,UNITED KINGDOM,22.49614287,856.2248572
BARRY CALLEBAUT,POLAND,40.32948131,2325.988124
OLAM,MEXICO,22.24946245,1283.229631
BARRY CALLEBAUT,UNITED KINGDOM,1.629204095,95.88532284
OLAM,NETHERLANDS,24.48729795,1412.295977
OLAM,ESTONIA,10.29260679,536.7047403
ECOM,GERMANY,38.60029303,2344.371915
BARRY CALLEBAUT,ESTONIA,25.26475345,4972.065883
BARRY CALLEBAUT,ESTONIA,29.44279752,1788.195431
OLAM,BELGIUM,42.93966605,1743.073469
ECOM,SPAIN,25.79040108,2950.909181
CARGILL,GERMANY,20.67247073,1112.599293
