trader_group,country_of_destination,cocoa_deforestation_15_years_total_exposure,cocoa_net_emissions_15_years_total
OLAM,RUSSIAN FEDERATION,0.131147525,23.98837159
OLAM,UNITED STATES,1.788055795,93.23760647
BARRY CALLEBAUT,ITALY,0.279157629,7.975317346
BARRY CALLEBAUT,GERMANY,0.219136725,6.260566575
BARRY CALLEBAUT,ITALY,1.380321242,88.01077908
OLAM,RUSSIAN FEDERATION,0.06308711,1.898350035
OLAM,PORTUGAL,3.17300956,183.002169
BARRY CALLEBAUT,CANADA,0.201284033,5.950305
BARRY CALLEBAUT,MALAYSIA,0.226423857,4.35586164
BARRY CALLEBAUT,ITALY,0.658594058,34.34217981
OLAM,MALAYSIA,0.276504459,16.79337741
OLAM,NETHERLANDS,0.789357147,45.52588555
BARRY CALLEBAUT,CHILE,0.056121006,1.283171473
BARRY CALLEBAUT,INDONESIA,0.832565218,48.01789527
BARRY CALLEBAUT,SENEGAL,1.617866233,98.2603981
CARGILL,UNITED KINGDOM,0.403564323,13.14691458
CARGILL,GERMANY,0.60307506,37.26719732
OLAM,PORTUGAL,1.756357348,91.58470096
OLAM,CHILE,0.197868445,5.849334305
OLAM,BELGIUM,0.102775756,5.359209459
OLAM,UNITED STATES,0.36085827,10.8585622
BARRY CALLEBAUT,ITALY,0.168646325,7.218804653
BARRY CALLEBAUT,COTE D'IVOIRE,0.19239766,11.68518772
OLAM,EGYPT,0.253266067,11.45807533
OLAM,RUSSIAN FEDERATION,0.11587361,7.037533021
ECOM,BELGIUM,0.806881361,36.50432733
CEMOI,INDONESIA,0.200278788,9.06086417
BARRY CALLEBAUT,ITALY,0.521432984,22.31962569
BARRY CALLEBAUT,CONGO DEMOCRATIC REPUBLIC OF THE,0.027543269,1.298870147
OLAM,BELGIUM,0.148612202,7.998358444
CEMOI,INDONESIA,2.075582798,190.1658845
BARRY CALLEBAUT,GERMANY,0.061148989,3.188594779
OLAM,MALAYSIA,0.358507753,22.85884303
BARRY CALLEBAUT,ITALY,0.085096375,2.772184532
OLAM,SOUTH AFRICA,0.513152362,23.21565809
OLAM,PORTUGAL,2.155855449,64.87170295
OLAM,BELGIUM,1.622401875,51.46681088
OLAM,MALAYSIA,0.571624018,18.13340189
BARRY CALLEBAUT,INDONESIA,0.002609954,0.002885657
BARRY CALLEBAUT,MALAYSIA,0.338144524,7.731461724
BARRY CALLEBAUT,COTE D'IVOIRE,0.022147472,1.001979474
TOUTON,ITALY,0.239702125,11.05517365
OLAM,RUSSIAN FEDERATION,0.010692633,0.316092768
OLAM,COTE D'IVOIRE,0.05186523,1.185865844
SUCDEN,TUNISIA,1.540392483,88.8415746
OLAM,MALAYSIA,1.258646,304.6042287
