group_key,total_cocoa_net_emissions_15_years_total
CARGILL,17854114.696145263
ECOM,9503847.75417409
OLAM,18203653.96236375
BARRY CALLEBAUT,15381482.623049404
TOUTON,12426091.350563897
ETC GROUP,3936202.6674906476
SUCDEN,10945162.999498619
TANMONDIAL,1903938.9081170002
SACC,2837595.3972010002
COCOA EXPORT COTE D'IVOIRE,1961808.411983
SOCIETE AWAHUS SERVICES,2210729.3861434
